Node ID,tx,ty,tz,qx,qy,qz,qw
93,-0.679126,0.280999,0.812484,-0.04216,0.0319935,0.996371,-0.0666609
94,-0.679126,0.280999,0.812484,-0.04216,0.0319935,0.996371,-0.0666609
95,-0.679126,0.280999,0.812484,-0.04216,0.0319935,0.996371,-0.0666609
96,-0.679126,0.280999,0.812484,-0.04216,0.0319935,0.996371,-0.0666609
97,-0.679126,0.280999,0.812484,-0.04216,0.0319935,0.996371,-0.0666609
98,-0.679126,0.280999,0.812484,-0.04216,0.0319935,0.996371,-0.0666609
99,-0.679126,0.280999,0.812484,-0.04216,0.0319935,0.996371,-0.0666609
100,-0.513984,0.484598,0.7903,-0.492797,0.271867,0.825202,-0.0477718
101,-0.49728,0.482433,0.804507,-0.0398323,0.0279386,0.997847,-0.0439743
102,-0.488636,0.482776,0.819448,-0.0621623,0.0172991,0.996954,-0.0438179
103,-0.473763,0.479136,0.790742,-0.516168,0.226786,0.824003,-0.0562043
104,-0.466659,0.479085,0.828502,-0.0702933,0.00865421,0.996144,-0.0517736
105,-0.446985,0.473455,0.821318,-0.073671,0.0151674,0.995924,-0.0497762
106,-0.414212,0.461623,0.797639,-0.0414895,0.00425999,0.998178,-0.0435941
107,-0.401298,0.457815,0.79889,-0.0391283,-2.82937E-05,0.998135,-0.0468546
108,-0.388565,0.453983,0.7979,-0.0414436,0.00762233,0.997843,-0.0503393
109,-0.369084,0.447285,0.785414,-0.0318632,0.0183678,0.998155,-0.048315
110,-0.355906,0.442959,0.785326,-0.0312494,0.017307,0.998094,-0.050327
111,-0.343742,0.439593,0.786488,-0.0335726,0.0176854,0.99785,-0.053438
112,-0.330461,0.436517,0.787184,-0.0282787,0.0154529,0.998111,-0.0523048
113,-0.315444,0.432385,0.781384,-0.020415,0.0174426,0.998279,-0.0521387
114,-0.303934,0.430063,0.783245,-0.0229218,0.0143828,0.998143,-0.0545808
115,-0.291834,0.426974,0.782074,-0.0234336,0.0168333,0.998108,-0.0543006
116,-0.28068,0.424285,0.781219,-0.0213548,0.00994072,0.998053,-0.0577552
117,-0.268539,0.420105,0.779107,-0.0209671,0.00256386,0.998142,-0.057144
118,-0.258557,0.416143,0.776532,-0.0187723,-0.00186566,0.998128,-0.0581731
119,-0.25104,0.413176,0.775522,-0.0196493,0.00190447,0.99817,-0.0571505
120,-0.243284,0.409613,0.771726,-0.0183587,-0.000582039,0.998205,-0.0570078
121,-0.23753,0.408046,0.768957,-0.0172591,0.000256814,0.998195,-0.057522
122,-0.231996,0.406874,0.766923,-0.0191223,0.00153766,0.998178,-0.057211
123,-0.225518,0.40586,0.763747,-0.0146206,0.00342401,0.998364,-0.0551671
